pitch_acc,roll_acc,pitch_gyro,roll_gyro,pitch_comp,roll_comp
2.37,-1.14,15.02,12.87,8.03,5.55
3.49,-1.36,15.89,12.52,8.88,5.17
6.56,-1.38,16.67,12.41,9.64,5.04
5.87,0.45,18.02,12.49,10.96,5.09
7.52,-0.58,19.21,12.69,12.14,5.27
9.56,-1.63,18.49,13.15,11.40,5.70
8.22,-0.96,18.26,13.49,11.15,6.01
7.91,-0.35,18.80,13.50,11.67,5.99
7.17,-0.99,18.90,13.36,11.74,5.82
4.95,-2.55,18.10,13.36,10.92,5.79
7.43,-0.97,16.83,13.12,9.63,5.52
5.18,-0.77,15.79,12.88,8.58,5.26
4.42,-0.55,14.51,12.95,7.28,5.30
3.10,-1.13,14.21,13.04,6.95,5.36
3.14,-0.83,14.10,13.24,6.82,5.53
2.81,1.18,13.53,13.27,6.24,5.55
1.96,-0.51,13.29,13.43,5.98,5.68
2.63,-2.55,13.25,13.77,5.92,5.98
0.46,-2.23,13.06,14.22,5.70,6.39
2.67,0.04,12.92,14.49,5.54,6.64
2.59,1.68,12.77,14.60,5.38,6.72
0.63,0.23,12.54,14.45,5.12,6.55
-0.04,-1.00,12.17,14.52,4.73,6.59
1.89,1.52,11.97,14.65,4.51,6.69
0.12,0.63,11.88,14.30,4.40,6.32
0.99,0.00,12.16,14.36,4.66,6.35
-0.16,0.37,12.32,14.22,4.79,6.19
0.80,0.10,12.74,14.03,5.19,5.97
1.69,-0.19,12.74,14.01,5.17,5.93
0.93,-0.41,12.68,14.00,5.09,5.89
1.86,-0.07,12.65,13.99,5.04,5.85
1.50,0.06,12.59,13.98,4.96,5.82
1.69,0.13,12.52,13.97,4.88,5.79
1.19,0.31,12.51,13.96,4.85,5.75
1.63,0.12,12.49,13.95,4.81,5.72
1.08,0.01,12.47,13.94,4.77,5.68
1.43,-0.21,12.46,13.93,4.74,5.65
1.73,-0.01,12.43,13.93,4.69,5.62
1.13,0.03,12.39,13.92,4.63,5.60
1.26,0.12,12.36,13.92,4.58,5.57
1.48,0.55,12.32,13.91,4.53,5.54
1.29,-0.13,12.26,13.91,4.45,5.52
1.16,-0.17,12.19,13.92,4.36,5.50
1.07,-0.19,12.13,13.91,4.28,5.47
1.09,-0.19,12.07,13.92,4.20,5.45
0.92,-0.06,11.97,13.93,4.09,5.43
0.91,0.19,11.82,13.94,3.92,5.43
0.20,0.21,11.61,13.96,3.69,5.42
0.40,0.00,11.38,13.97,3.44,5.41
-0.03,-0.04,10.74,13.99,2.78,5.41
-0.50,-0.15,10.02,14.01,2.05,5.40
-0.41,0.42,9.13,14.01,1.15,5.39
-3.29,0.37,7.77,14.05,-0.23,5.40
-4.62,0.00,6.37,14.05,-1.65,5.38
-5.20,0.34,4.75,14.06,-3.28,5.36
-7.19,0.47,3.26,14.09,-4.79,5.37
-8.99,-0.03,1.06,14.11,-7.00,5.37
-11.51,0.14,-1.48,14.12,-9.55,5.36
-13.20,0.52,-3.64,14.15,-11.72,5.36
-16.42,0.06,-6.32,14.18,-14.42,5.37
-18.85,0.06,-8.55,14.14,-16.66,5.32
-22.51,0.19,-10.82,14.17,-18.95,5.32
-24.16,0.20,-12.01,14.12,-20.16,5.25
-24.90,0.79,-13.65,14.09,-21.81,5.20
-27.57,-0.74,-16.03,14.17,-24.22,5.26
-28.68,0.22,-17.65,14.15,-25.85,5.21
-30.71,0.64,-20.07,14.19,-28.29,5.24
-35.19,0.06,-22.38,14.28,-30.62,5.30
-36.09,-0.15,-23.94,14.28,-32.21,5.28
-37.90,1.02,-25.45,14.25,-33.74,5.23
-40.16,0.17,-26.99,14.26,-35.30,5.22
-41.25,0.15,-28.75,14.35,-37.09,5.28
-43.89,-0.04,-30.53,14.44,-38.88,5.35
-44.52,0.46,-31.99,14.43,-40.37,5.32
-46.58,0.96,-34.11,14.59,-42.51,5.46
-49.64,0.82,-35.90,14.77,-44.33,5.62
-51.02,0.00,-37.02,14.81,-45.48,5.64
-50.31,0.81,-38.05,14.80,-46.53,5.61
-53.88,1.12,-39.38,14.87,-47.88,5.66
-54.48,0.41,-40.39,14.93,-48.92,5.69
-55.30,0.54,-41.26,14.92,-49.82,5.66
-57.44,-0.39,-41.77,14.88,-50.37,5.60
-56.28,0.58,-42.07,14.89,-50.69,5.58
-56.86,1.33,-42.28,15.00,-50.93,5.68
-57.68,0.21,-42.16,15.10,-50.85,5.75
-57.74,1.07,-41.32,15.10,-50.04,5.73
-54.73,0.36,-40.41,15.11,-49.16,5.72
-54.85,0.17,-39.77,15.21,-48.55,5.79
-54.75,-0.10,-38.81,15.24,-47.63,5.80
-52.72,0.02,-37.65,15.26,-46.49,5.79
-50.87,0.40,-36.49,15.26,-45.36,5.77
-49.25,0.76,-35.50,15.29,-44.39,5.78
-49.24,0.02,-34.55,15.37,-43.48,5.84
-48.87,0.46,-33.13,15.35,-42.09,5.79
-45.82,-0.23,-31.49,15.33,-40.47,5.74
-45.44,0.58,-29.83,15.32,-38.85,5.72
-42.30,-0.28,-27.77,15.28,-36.81,5.64
-40.44,0.32,-25.70,15.26,-34.78,5.61
-37.04,0.13,-23.86,15.22,-32.95,5.54
-35.68,0.47,-22.52,15.22,-31.64,5.52
-35.09,0.40,-21.20,15.20,-30.34,5.48
-32.94,0.19,-19.73,15.16,-28.89,5.41
-32.27,0.02,-18.39,15.11,-27.58,5.34
-30.70,0.57,-16.91,15.06,-26.12,5.27
-27.31,0.20,-15.48,15.04,-24.70,5.23
-27.39,0.34,-13.97,14.98,-23.22,5.15
-25.67,0.02,-12.07,14.90,-21.34,5.04
-23.40,0.45,-10.47,14.90,-19.75,5.03
-21.85,-0.22,-8.97,14.86,-18.28,4.97
-19.51,-0.30,-7.10,14.79,-16.42,4.88
-16.84,0.08,-5.60,14.76,-14.94,4.82
-15.83,-0.09,-4.82,14.76,-14.17,4.80
-16.28,0.38,-3.66,14.73,-13.03,4.76
-14.05,-0.51,-2.03,14.67,-11.41,4.68
-11.96,0.68,-0.42,14.65,-9.82,4.63
-10.44,-0.05,0.91,14.64,-8.50,4.60
-9.31,0.12,2.01,14.61,-7.42,4.56
-7.63,0.52,2.78,14.59,-6.65,4.52
-7.46,-0.07,3.51,14.58,-5.93,4.49
-6.57,0.07,4.53,14.56,-4.93,4.45
-4.87,0.08,5.49,14.55,-3.97,4.42
-3.94,0.10,6.38,14.54,-3.09,4.39
-3.25,-0.10,7.09,14.54,-2.39,4.37
-2.17,0.31,7.81,14.55,-1.68,4.36
-1.54,-0.01,8.30,14.55,-1.19,4.34
-1.29,-0.09,8.87,14.55,-0.64,4.33
-0.86,0.21,9.61,14.55,0.09,4.31
0.41,0.07,10.13,14.53,0.61,4.26
0.93,0.33,10.39,14.50,0.86,4.22
1.53,0.53,10.46,14.48,0.93,4.19
0.94,0.04,10.51,14.48,0.97,4.17
1.32,0.16,10.55,14.47,1.01,4.14
1.22,0.15,10.58,14.47,1.04,4.12
1.26,-0.28,10.64,14.46,1.09,4.09
1.05,-0.17,10.85,14.47,1.30,4.08
1.42,-0.21,11.17,14.47,1.61,4.07
-0.19,0.26,12.14,14.45,2.56,4.03
4.04,-0.59,13.57,14.43,3.99,3.99
6.11,0.38,14.28,14.44,4.70,3.99
4.86,-0.22,14.57,14.45,4.98,3.97
5.05,0.10,15.50,14.48,5.90,3.99
6.14,0.41,16.80,14.53,7.19,4.02
8.87,0.82,18.67,14.55,9.05,4.03
10.18,0.44,20.43,14.60,10.81,4.06
13.31,0.41,22.48,14.64,12.85,4.09
15.42,-0.50,24.15,14.64,14.53,4.07
17.00,0.31,26.08,14.61,16.45,4.02
19.83,0.24,27.69,14.59,18.06,3.99
21.51,0.21,29.13,14.58,19.51,3.96
22.24,-0.27,30.59,14.54,20.97,3.90
23.91,0.02,32.58,14.42,22.95,3.76
27.03,0.44,34.13,14.40,24.51,3.73
28.28,0.07,34.84,14.44,25.23,3.75
26.72,0.60,35.88,14.42,26.26,3.71
29.85,0.03,37.39,14.47,27.77,3.75
30.31,0.24,38.69,14.51,29.07,3.78
30.71,0.44,40.10,14.51,30.48,3.76
34.68,0.46,41.81,14.53,32.19,3.76
35.62,-0.27,43.30,14.52,33.69,3.73
37.12,0.11,44.92,14.54,35.31,3.74
40.21,1.27,46.23,14.56,36.63,3.75
40.15,-1.20,47.81,14.59,38.21,3.76
43.09,-0.67,49.03,14.63,39.44,3.78
44.12,-0.20,49.74,14.67,40.16,3.80
42.90,-0.25,51.31,14.71,41.72,3.83
46.81,-0.04,52.76,14.77,43.19,3.86
50.13,0.45,53.19,14.81,43.64,3.89
46.79,0.17,54.49,14.83,44.94,3.89
51.41,0.60,55.42,14.91,45.89,3.96
53.26,0.72,55.53,14.93,46.02,3.96
50.02,-0.65,56.10,14.92,46.60,3.93
52.92,0.40,55.81,14.93,46.33,3.93
50.80,-0.56,53.98,14.91,44.52,3.89
46.22,-0.39,53.25,14.90,43.80,3.86
50.17,0.31,52.10,14.94,42.67,3.89
44.68,-0.39,49.50,14.91,40.08,3.84
43.47,0.28,47.30,14.85,37.90,3.77
36.92,-0.55,46.08,14.83,36.68,3.72
42.18,-0.24,46.05,14.84,36.66,3.72
43.76,-0.10,43.83,14.85,34.47,3.71
35.11,-0.09,41.08,14.82,31.73,3.66
34.13,0.02,39.19,14.80,29.85,3.62
31.85,0.21,36.56,14.84,27.24,3.65
27.32,-1.02,34.28,14.82,24.96,3.61
26.82,-0.21,33.12,14.83,23.81,3.61
25.97,0.13,31.51,14.81,22.21,3.57
23.77,-0.47,29.85,14.80,20.55,3.54
22.08,-0.37,28.43,14.80,19.15,3.53
22.29,0.46,26.98,14.81,17.71,3.52
18.68,-0.14,24.79,14.82,15.52,3.51
15.98,0.17,23.03,14.82,13.77,3.50
14.54,0.08,21.53,14.81,12.27,3.47
13.21,-0.11,19.64,14.83,10.38,3.48
12.05,-0.37,17.92,14.85,8.67,3.48
9.22,-0.46,16.37,14.82,7.13,3.44
7.01,0.19,15.33,14.80,6.09,3.40
6.61,0.45,14.41,14.78,5.17,3.37
6.18,-0.40,13.14,14.75,3.90,3.32
3.97,-0.25,12.34,14.73,3.10,3.29
5.18,-0.52,11.37,14.74,2.13,3.28
0.70,0.03,9.98,14.77,0.74,3.29
1.36,0.37,9.83,14.77,0.59,3.28
1.63,-0.15,9.69,14.77,0.45,3.26
1.61,-0.41,9.62,14.77,0.38,3.24
1.29,0.12,9.62,14.77,0.38,3.23
1.89,-0.45,9.60,14.76,0.35,3.21
0.82,-0.06,9.51,14.74,0.26,3.17
0.94,0.58,9.45,14.70,0.20,3.12
0.09,0.94,9.41,14.68,0.15,3.10
1.40,-2.26,10.08,14.72,0.82,3.11
4.36,0.69,10.03,15.35,0.78,3.72
3.01,1.54,10.41,15.80,1.17,4.16
0.44,0.22,10.64,16.64,1.38,4.98
1.58,2.95,11.35,17.43,2.09,5.76
4.42,2.74,11.01,18.26,1.75,6.57
3.08,4.57,10.88,19.12,1.62,7.42
1.62,6.05,10.95,19.94,1.68,8.23
2.96,5.46,10.51,20.92,1.25,9.20
0.84,6.67,9.98,22.04,0.71,10.30
1.90,8.83,10.13,22.93,0.86,11.18
2.79,9.22,10.26,23.92,0.99,12.16
1.24,10.08,9.92,25.10,0.65,13.32
2.59,11.52,9.93,26.10,0.67,14.30
4.22,13.74,10.46,27.19,1.20,15.39
2.71,14.03,10.10,28.44,0.84,16.62
1.84,14.68,9.54,30.06,0.28,18.23
1.31,16.88,8.80,31.57,-0.45,19.73
1.08,17.23,8.60,33.17,-0.65,21.31
0.08,20.18,8.70,35.14,-0.55,23.26
2.26,22.07,8.93,37.31,-0.32,25.42
2.41,24.74,9.27,39.41,0.02,27.51
0.73,27.83,9.24,41.49,-0.01,29.58
1.43,27.94,9.03,43.53,-0.22,31.61
3.89,32.57,9.12,45.49,-0.11,33.56
3.68,33.64,8.70,47.46,-0.53,35.52
4.30,37.01,8.04,49.49,-1.16,37.54
0.11,38.07,7.70,51.48,-1.50,39.52
1.18,39.45,7.60,53.41,-1.60,41.45
3.75,43.14,7.71,55.29,-1.48,43.33
1.51,43.62,7.96,56.85,-1.22,44.88
0.18,45.74,7.98,58.32,-1.20,46.34
3.73,47.19,8.05,59.47,-1.12,47.50
2.84,49.01,8.04,60.51,-1.12,48.53
5.39,49.47,7.91,61.52,-1.22,49.54
4.09,51.45,7.85,62.42,-1.27,50.44
3.16,51.99,7.75,63.33,-1.36,51.35
3.75,53.94,7.60,64.23,-1.49,52.26
2.22,53.65,7.51,65.10,-1.57,53.13
2.52,54.01,7.42,65.93,-1.65,53.96
2.29,55.65,7.42,66.77,-1.63,54.80
2.84,56.20,7.61,67.58,-1.44,55.61
5.73,57.80,7.68,68.29,-1.34,56.33
6.51,59.17,7.42,68.90,-1.57,56.94
2.45,59.64,7.36,69.25,-1.62,57.31
0.82,59.90,7.19,69.38,-1.79,57.44
-0.94,59.28,6.93,69.02,-2.05,57.09
0.08,58.59,6.94,68.05,-2.04,56.12
4.82,57.82,7.20,66.60,-1.75,54.69
2.39,57.48,7.12,65.05,-1.82,53.15
-0.79,53.49,7.01,63.46,-1.94,51.57
2.53,53.03,6.94,61.71,-2.00,49.83
1.69,49.38,6.67,59.89,-2.25,48.01
-4.23,48.37,6.46,57.67,-2.48,45.81
-2.42,45.50,5.99,55.23,-2.95,43.37
-3.08,42.45,5.92,52.47,-3.03,40.61
-2.89,38.65,5.73,49.76,-3.21,37.91
-2.28,35.03,5.39,47.30,-3.55,35.44
-2.08,33.08,5.12,44.85,-3.83,33.00
-2.98,31.09,4.82,42.34,-4.12,30.48
-2.63,26.27,4.56,39.84,-4.39,27.97
-0.48,24.59,4.12,37.50,-4.81,25.63
-2.37,23.48,3.44,35.48,-5.48,23.61
-3.94,21.02,3.00,33.67,-5.93,21.80
-3.59,19.45,2.52,32.01,-6.40,20.13
-4.60,17.70,2.26,30.30,-6.65,18.42
-3.99,17.41,1.96,28.85,-6.95,16.96
-4.18,14.06,1.83,27.33,-7.07,15.44
-4.46,12.07,1.83,25.53,-7.07,13.63
-4.27,10.19,1.26,23.46,-7.63,11.56
-4.42,9.50,0.49,21.29,-8.38,9.39
-3.37,7.80,0.36,19.19,-8.50,7.28
-4.69,4.56,-0.50,17.20,-9.35,5.29
-6.71,1.91,-1.20,15.49,-10.04,3.58
-7.16,0.70,-1.92,13.71,-10.75,1.78
-9.54,-1.78,-1.68,11.79,-10.51,-0.14
-5.48,-3.59,-1.46,10.02,-10.28,-1.92
-6.68,-4.91,-0.95,8.23,-9.76,-3.72
-5.27,-7.68,-0.64,6.45,-9.44,-5.50
-5.93,-9.25,-0.18,4.87,-8.98,-7.10
-6.15,-10.39,0.53,3.43,-8.26,-8.55
-3.16,-13.38,0.73,2.02,-8.05,-9.97
-6.62,-14.17,0.34,0.58,-8.43,-11.42
-5.92,-15.82,-0.42,-1.00,-9.19,-13.02
-5.63,-18.48,-1.92,-2.61,-10.67,-14.65
-7.80,-17.12,-2.50,-4.25,-11.25,-16.29
-10.58,-19.48,-1.90,-5.78,-10.65,-17.82
-7.07,-22.19,-1.50,-6.90,-10.24,-18.96
-6.41,-21.49,-2.12,-8.24,-10.85,-20.31
-7.96,-24.04,-2.73,-9.63,-11.45,-21.71
-7.97,-26.42,-2.48,-10.77,-11.19,-22.87
-9.97,-28.02,-2.30,-11.94,-11.02,-24.06
-5.23,-26.77,-2.71,-12.96,-11.40,-25.08
-11.84,-29.39,-2.88,-14.11,-11.58,-26.25
-9.38,-30.66,-3.91,-15.36,-12.61,-27.50
-11.04,-31.12,-4.36,-16.26,-13.05,-28.43
-11.89,-32.92,-5.23,-17.26,-13.92,-29.44
-10.90,-33.34,-5.43,-18.33,-14.11,-30.51
-12.71,-34.51,-4.35,-18.98,-13.04,-31.19
-10.93,-36.65,-3.76,-19.29,-12.44,-31.52
-13.87,-35.23,-3.66,-20.02,-12.36,-32.26
-9.84,-36.87,-3.64,-20.80,-12.33,-33.06
-14.40,-38.73,-3.35,-21.45,-12.05,-33.73
-11.72,-38.08,-2.68,-21.91,-11.39,-34.21
-8.65,-38.07,-1.89,-22.12,-10.60,-34.43
-10.29,-39.32,-1.64,-22.12,-10.36,-34.45
-7.98,-37.39,-1.87,-21.80,-10.57,-34.14
-10.63,-37.26,-2.13,-21.24,-10.84,-33.60
-4.75,-37.65,-0.94,-20.53,-9.64,-32.91
-6.54,-37.18,-0.01,-19.61,-8.71,-32.02
-5.65,-34.20,1.61,-18.45,-7.08,-30.87
-1.90,-33.57,3.45,-17.11,-5.24,-29.55
-0.09,-31.73,5.46,-15.98,-3.22,-28.43
-0.74,-30.99,7.64,-14.80,-1.05,-27.27
5.12,-29.98,9.78,-13.73,1.11,-26.21
5.13,-29.09,12.30,-12.76,3.63,-25.27
7.53,-28.48,14.40,-11.76,5.73,-24.28
13.08,-26.06,17.00,-10.74,8.34,-23.27
14.38,-25.80,19.66,-9.42,11.01,-21.97
18.20,-23.59,22.79,-7.92,14.15,-20.49
22.74,-22.74,25.45,-6.02,16.83,-18.61
24.65,-18.37,28.62,-4.08,20.01,-16.67
29.00,-20.37,30.79,-2.35,22.21,-14.97
27.82,-16.68,32.77,-0.29,24.20,-12.92
29.92,-12.43,34.80,1.60,26.24,-11.04
32.79,-11.80,36.22,3.62,27.67,-9.03
31.65,-10.48,37.14,5.88,28.59,-6.78
37.09,-5.26,38.22,7.93,29.70,-4.74
34.90,-5.05,39.32,9.71,30.81,-2.97
38.92,-2.09,40.41,11.61,31.93,-1.07
39.40,3.38,40.95,13.74,32.49,1.06
38.10,4.85,41.42,15.74,32.97,3.07
37.61,6.46,42.11,17.73,33.68,5.07
44.12,12.30,43.64,19.76,35.23,7.11
44.79,14.31,44.74,21.73,36.36,9.10
44.94,15.74,45.25,23.74,36.90,11.13
46.53,20.69,45.80,25.48,37.48,12.90
45.79,23.53,46.20,27.19,37.90,14.64
46.30,25.63,45.66,29.08,37.39,16.56
44.42,25.64,45.21,30.78,36.97,18.29
45.44,29.66,43.64,32.25,35.43,19.80
43.40,31.91,42.59,33.61,34.41,21.20
43.09,32.65,41.56,35.27,33.42,22.90
42.85,35.08,40.31,37.16,32.20,24.83
41.08,36.11,38.93,39.05,30.87,26.76
38.40,37.38,37.91,40.58,29.87,28.32
39.63,41.96,37.32,41.86,29.31,29.65
40.24,42.21,36.14,43.13,28.18,30.96
38.00,43.04,34.53,44.23,26.62,32.11
37.48,44.71,33.21,45.28,25.34,33.20
35.36,45.81,31.48,46.58,23.64,34.54
35.29,45.69,29.00,47.82,21.21,35.82
26.81,46.00,27.32,48.75,19.56,36.79
27.03,48.22,25.16,49.38,17.44,37.46
27.90,48.34,22.43,50.17,14.75,38.29
21.33,48.26,19.65,50.54,12.01,38.70
16.21,48.01,17.05,50.45,9.43,38.64
7.99,48.76,14.07,50.24,6.44,38.47
7.30,49.40,11.87,49.80,4.25,38.08
2.40,47.38,10.00,49.16,2.38,37.47
-4.47,45.03,8.15,48.46,0.51,36.81
-0.49,46.63,6.36,47.82,-1.29,36.21
-3.93,43.59,4.43,47.12,-3.22,35.54
-8.66,42.77,1.70,46.31,-5.97,34.76
-16.65,44.77,-0.99,45.56,-8.70,34.05
-15.29,44.08,-3.39,44.89,-11.12,33.42
-21.35,41.89,-6.01,44.23,-13.78,32.79
-25.30,40.32,-8.86,43.35,-16.67,31.95
-30.33,40.91,-11.25,42.34,-19.11,30.98
-31.56,38.51,-13.41,41.17,-21.32,29.84
-34.66,38.01,-15.70,39.98,-23.66,28.68
-37.21,37.36,-18.80,39.01,-26.80,27.75
-41.64,36.71,-21.47,37.96,-29.52,26.74
-43.23,35.34,-23.78,36.98,-31.88,25.80
-47.25,35.62,-26.52,35.88,-34.68,24.74
-49.93,32.33,-29.25,34.76,-37.47,23.65
-53.97,31.26,-31.43,33.62,-39.71,22.55
-56.29,29.78,-33.67,32.38,-42.02,21.34
-58.27,25.47,-35.82,31.08,-44.23,20.06
-58.31,25.30,-37.56,29.81,-46.02,18.81
-63.22,22.61,-39.87,28.45,-48.40,17.48
-64.66,19.91,-41.14,26.95,-49.73,15.98
-63.62,17.04,-42.09,25.44,-50.74,14.49
-67.66,7.95,-42.67,23.96,-51.39,12.98
-67.05,4.59,-42.98,22.54,-51.76,11.53
-66.56,-0.97,-43.11,21.16,-51.96,10.11
-66.03,-8.64,-41.88,19.20,-50.80,8.08
-65.02,-7.33,-40.53,17.27,-49.51,6.10
-64.80,-17.75,-39.54,15.54,-48.59,4.28
-59.93,-12.46,-36.43,12.97,-45.55,1.64
-61.53,-20.32,-30.17,9.93,-39.38,-1.47
-48.26,-17.07,-25.52,7.84,-34.79,-3.62
-48.52,-20.46,-20.74,5.86,-30.09,-5.65
-39.42,-22.85,-16.48,4.13,-25.89,-7.45
-33.18,-20.18,-13.84,3.78,-23.29,-7.85
-33.89,-21.06,-10.68,3.75,-20.19,-7.93
-31.22,-20.99,-6.74,3.70,-16.32,-8.04
-28.34,-20.90,-3.58,3.86,-13.22,-7.93
-23.29,-20.64,-0.29,3.98,-10.00,-7.86
-19.14,-18.53,2.95,4.35,-6.81,-7.54
-14.01,-18.08,5.83,4.94,-3.98,-7.00
-12.26,-16.42,8.48,5.76,-1.38,-6.21
-10.90,-16.14,11.15,6.69,1.24,-5.33
-6.70,-15.47,14.29,7.62,4.34,-4.45
-3.80,-14.48,17.12,8.61,7.11,-3.50
0.04,-13.77,19.41,9.87,9.36,-2.29
4.47,-11.15,21.18,11.17,11.10,-1.03
3.83,-10.06,23.00,12.38,12.87,0.13
7.34,-9.27,24.92,13.61,14.76,1.32
9.85,-8.67,26.21,14.81,16.02,2.48
11.42,-6.10,27.17,16.00,16.95,3.63
9.99,-4.12,27.85,17.07,17.60,4.66
11.38,-3.14,27.82,18.08,17.54,5.63
11.18,-3.14,27.76,18.87,17.45,6.38
7.64,-3.31,27.42,19.43,17.07,6.89
10.65,-1.16,26.85,20.29,16.47,7.72
10.03,-1.47,26.06,21.10,15.65,8.49
9.65,-0.72,24.96,21.68,14.52,9.02
7.70,1.04,23.07,22.13,12.61,9.44
5.68,-0.06,20.85,22.34,10.36,9.61
-0.43,0.12,19.54,22.35,9.01,9.58
-0.10,-1.16,17.88,22.57,7.32,9.75
1.66,1.33,16.87,22.46,6.28,9.61
-1.68,-2.92,16.66,22.52,6.04,9.62
-4.90,-2.96,17.21,22.66,6.54,9.71
-3.40,-1.15,15.79,22.12,5.08,9.12
3.05,1.58,16.40,21.75,5.67,8.72
-4.68,-3.48,16.33,21.68,5.56,8.61
6.26,-1.12,16.65,21.91,5.86,8.80
-1.28,-0.76,17.24,21.92,6.43,8.76
-0.05,2.86,18.65,21.91,7.79,8.73
4.75,0.98,19.26,21.84,8.39,8.62
-1.54,0.97,19.34,21.85,8.42,8.60
0.66,-1.17,19.54,21.86,8.58,8.58
-1.25,-0.23,19.45,21.88,8.45,8.56
-2.37,-3.04,19.37,21.87,8.32,8.50
0.74,-3.96,19.42,21.87,8.34,8.45
0.39,-4.88,19.40,21.86,8.28,8.38
3.72,-2.43,19.28,21.84,8.14,8.32
5.59,-7.97,19.23,21.86,8.07,8.27
4.23,-2.06,19.27,21.85,8.09,8.22
4.91,0.91,19.26,21.79,8.06,8.13
7.94,3.79,19.28,21.79,8.08,8.11
4.37,2.86,19.42,21.78,8.19,8.08
2.49,5.72,19.50,21.77,8.24,8.06
4.49,8.64,19.55,21.82,8.28,8.11
0.06,3.30,19.56,21.84,8.24,8.11
-2.13,4.88,19.65,21.88,8.29,8.14
-1.20,1.87,19.68,21.88,8.28,8.11
-4.80,0.93,19.78,21.90,8.32,8.10
-1.85,-0.74,19.81,21.90,8.31,8.06
-1.43,-0.62,19.80,21.90,8.25,8.02
-1.47,-1.19,19.82,21.91,8.22,7.99
-2.23,-0.57,19.81,21.90,8.17,7.95
1.18,-1.85,19.79,21.90,8.12,7.91
-3.75,-2.11,19.71,21.90,7.98,7.86
-1.29,-3.41,19.66,21.89,7.89,7.81
-1.82,-5.25,19.51,21.89,7.70,7.76
4.59,-3.89,19.46,21.88,7.63,7.70
6.64,-4.84,19.34,21.88,7.50,7.64
7.51,-1.61,19.12,21.86,7.27,7.59
4.87,-1.21,19.13,21.84,7.27,7.53
2.91,3.87,19.20,21.81,7.32,7.49
5.36,-0.54,19.21,21.80,7.31,7.44
3.74,1.52,19.17,21.79,7.25,7.40
1.58,1.18,19.25,21.79,7.30,7.38
2.00,5.15,19.31,21.77,7.34,7.35
1.34,3.47,19.27,21.75,7.27,7.31
1.34,1.49,19.33,21.75,7.30,7.28
-0.04,2.35,19.44,21.74,7.37,7.25
0.55,4.46,19.50,21.74,7.40,7.25
-2.87,3.11,19.51,21.74,7.37,7.23
-0.39,1.79,19.55,21.74,7.37,7.20
-0.94,2.86,19.58,21.73,7.36,7.17
-1.42,0.46,19.46,21.72,7.20,7.13
-0.86,-1.25,19.45,21.70,7.16,7.08
-1.01,-0.21,19.45,21.69,7.11,7.04
0.31,-1.43,19.38,21.67,7.01,6.99
-1.87,-1.63,19.22,21.69,6.82,6.97
1.00,-1.48,19.07,21.71,6.63,6.95
0.37,-2.06,18.95,21.71,6.49,6.91
2.60,-0.68,18.85,21.69,6.36,6.86
3.86,-4.12,18.65,21.69,6.15,6.82
3.85,-4.82,18.51,21.69,6.00,6.77
5.87,-2.61,18.42,21.69,5.90,6.74
4.85,-1.15,18.35,21.69,5.82,6.70
3.78,-0.61,18.26,21.66,5.72,6.64
5.31,1.56,18.27,21.64,5.72,6.60
4.55,2.01,18.28,21.62,5.72,6.56
3.52,2.68,18.24,21.60,5.67,6.52
4.45,-0.79,18.16,21.60,5.58,6.49
3.97,3.93,18.22,21.57,5.62,6.44
2.81,3.75,18.18,21.56,5.56,6.43
2.83,1.29,18.27,21.57,5.64,6.41
3.27,4.86,18.23,21.54,5.59,6.37
2.39,4.06,18.18,21.54,5.52,6.36
0.83,4.59,18.18,21.54,5.50,6.36
-1.83,4.12,18.26,21.53,5.54,6.34
-2.05,2.47,18.32,21.52,5.57,6.31
-1.40,3.40,18.36,21.53,5.57,6.31
-2.46,2.11,18.40,21.54,5.58,6.30
0.23,-0.20,18.35,21.52,5.49,6.25
0.15,-0.66,18.33,21.52,5.45,6.22
-2.08,-2.91,18.31,21.51,5.40,6.17
-3.54,-0.65,18.31,21.52,5.35,6.15
-0.21,-5.25,18.30,21.51,5.32,6.09
0.96,-2.92,18.24,21.51,5.24,6.05
-0.22,-3.13,18.20,21.51,5.16,6.02
0.50,-2.95,18.17,21.50,5.11,5.97
6.12,-4.26,17.98,21.52,4.93,5.95
4.32,-2.95,17.87,21.52,4.80,5.91
5.17,-1.90,17.81,21.51,4.74,5.87
2.30,-3.78,17.77,21.51,4.69,5.83
4.14,1.33,17.69,21.51,4.60,5.81
7.49,1.21,17.68,21.49,4.59,5.77
7.16,-0.15,17.64,21.47,4.56,5.73
4.14,-1.04,17.70,21.45,4.61,5.68
2.89,-0.32,17.73,21.45,4.63,5.65
5.26,-1.08,17.76,21.45,4.66,5.62
5.07,1.92,17.75,21.44,4.64,5.60
4.23,1.49,17.72,21.44,4.61,5.58
2.13,2.91,17.66,21.44,4.53,5.57
-0.19,2.52,17.72,21.44,4.57,5.55
0.00,2.99,17.74,21.43,4.57,5.53
-1.59,2.75,17.79,21.42,4.58,5.51
-2.35,0.06,17.77,21.42,4.53,5.48
-0.53,0.91,17.83,21.41,4.56,5.46
-1.96,1.23,17.90,21.40,4.61,5.43
-1.52,-0.10,17.92,21.39,4.60,5.39
-0.58,-0.03,17.91,21.40,4.56,5.38
-1.78,-0.47,17.89,21.41,4.51,5.37
-1.79,2.38,17.88,21.41,4.46,5.35
0.14,1.86,17.92,21.40,4.49,5.33
0.94,-0.86,17.95,21.41,4.49,5.31
